Year,H.S Code,Commodity Description,Country,Value (S.R),Weight (kg)
2016,8041021,STORED DATES,TANZANIA,435122.0,"162,485"
2016,8041021,STORED DATES,TUNISIA,15998.0,"3,160"
2016,8041021,STORED DATES,GAMBIA,35500.0,"16,500"
2016,8041021,STORED DATES,COMOROS,70954.0,"17,520"
2016,8041021,STORED DATES,MALDIVES,3000.0,"1,000"
2016,8041021,STORED DATES,SOMALIA,1650600.0,"498,400"
2016,8041021,STORED DATES,SOUTH AFRICA,955230.0,"100,003"
2016,8041021,STORED DATES,DJIBOUTI,860167.0,"244,916"
2016,8041021,STORED DATES,RUSSIAN FEDERATION,427076.0,"19,352"
2016,8041021,STORED DATES,ROMANIA,9701.0,"1,240"
2016,8041021,STORED DATES,ZAMBIA,44404.0,"16,510"
2016,8041021,STORED DATES,COTE D'IVOIRE,24284.0,"4,100"
2016,8041021,STORED DATES,SAO TOME AND PRINCIPE,484322.0,"90,510"
2016,8041021,STORED DATES,SULTANATE OF OMAN,1124165.0,"295,650"
2016,8041021,STORED DATES,SLOVAKIA,21000.0,983
2016,8041021,STORED DATES,SINGAPORE,1046472.0,"43,292"
2016,8041021,STORED DATES,SWITZERLAND,534605.0,"36,113"
2016,8041021,STORED DATES,SRI LANKA,325312.0,"62,635"
2016,8041021,STORED DATES,GHANA,100809.0,"35,400"
2016,8041021,STORED DATES,GUINEA,39750.0,"29,000"
2016,8041021,STORED DATES,EQUATORIAL GUINEA,7324.0,845
2016,8041021,STORED DATES,FRANCE,669020.0,"130,458"
2016,8041021,STORED DATES,PALESTINE,129957.0,"61,410"
2016,8041021,STORED DATES,FINLAND,10581.0,"2,610"
2016,8041021,STORED DATES,VIETNAM,30901.0,"1,650"
2016,8041021,STORED DATES,QATAR,38694579.0,"4,226,967"
2016,8041021,STORED DATES,KAZAKHSTAN,26500.0,"2,870"
2016,8041021,STORED DATES,CANADA,2736829.0,"367,666"
2016,8041021,STORED DATES,CUBA,3500.0,"2,000"
2016,8041021,STORED DATES,SOUTH KOREA,24629.0,"3,747"
2016,8041021,STORED DATES,KENYA,155284.0,"45,483"
2016,8041021,STORED DATES,LEBANON,441585.0,"178,612"
2016,8041021,STORED DATES,LESOTHO,191250.0,"24,000"
2016,8041021,STORED DATES,MALTA,150000.0,"40,000"
2016,8041021,STORED DATES,MALI,25284.0,"4,472"
2016,8041021,STORED DATES,MALAYSIA,2125635.0,"224,682"
2016,8041021,STORED DATES,EGYPT,3915143.0,"196,660"
2016,8041021,STORED DATES,MAURITANIA,6960.0,"4,000"
2016,8041021,STORED DATES,MOZAMBIQUE,200625.0,"36,000"
2016,8041021,STORED DATES,NEPAL,31158.0,"1,240"
2016,8041021,STORED DATES,NIGERIA,105084.0,"30,700"
2016,8041021,STORED DATES,NICARAGUA,1240200.0,"234,000"
2016,8041021,STORED DATES,NEW ZEALAND,16824.0,"3,793"
2016,8041021,STORED DATES,NETHERLANDS,1131300.0,"179,288"
2016,8041021,STORED DATES,HONG KONG,10944.0,"1,780"
2016,8041021,STORED DATES,HONDURAS,1754300.0,"331,000"
2016,8041029,OTHER DATES,JORDAN,5554858.0,"895,814"
2016,8041029,OTHER DATES,UNITED ARAB EMIRATES,80212650.0,"14,439,360"
2016,8041029,OTHER DATES,BAHRAIN,705322.0,"36,194"
2016,8041029,OTHER DATES,REPUBLIC OF YEMEN,80540.0,"12,081"
2016,8041029,OTHER DATES,DENMARK,53156.0,"19,740"
2016,8041029,OTHER DATES,SWEDEN,97522.0,"17,520"
2016,8041029,OTHER DATES,IRAQ,1457654.0,"786,000"
2016,8041029,OTHER DATES,KUWAIT,14157148.0,"2,409,143"
2016,8041029,OTHER DATES,GERMANY,9375.0,950
2016,8041029,OTHER DATES,MOROCCO,2380.0,300
2016,8041029,OTHER DATES,UNITED KINGDOM,334245.0,"29,588"
2016,8041029,OTHER DATES,INDIA,371606.0,"95,400"
2016,8041029,OTHER DATES,U.S.A,213750.0,"18,000"
2016,8041029,OTHER DATES,PAKISTAN,2000.0,90
2016,8041029,OTHER DATES,BANGLADESH,45412.0,"23,000"
2016,8041029,OTHER DATES,TURKEY,1785894.0,"846,284"
2016,8041029,OTHER DATES,SOUTH AFRICA,262047.0,"25,289"
2016,8041029,OTHER DATES,SULTANATE OF OMAN,3896723.0,"523,779"
2016,8041029,OTHER DATES,SINGAPORE,765686.0,"27,603"
2016,8041029,OTHER DATES,SYRIA,138000.0,"50,000"
2016,8041029,OTHER DATES,SWITZERLAND,6337.0,75
2016,8041029,OTHER DATES,PALESTINE,552000.0,"187,000"
2016,8041029,OTHER DATES,CROATIA,68906.0,"21,000"
2016,8041029,OTHER DATES,LEBANON,1402051.0,"282,402"
2016,8041029,OTHER DATES,MALTA,68906.0,"22,000"
2016,8041029,OTHER DATES,EGYPT,86708.0,"63,110"
2016,8041029,OTHER DATES,NEPAL,14000.0,"2,919"
2016,8041029,OTHER DATES,NIGERIA,3500.0,"4,946"
2017,8041010,FRESH DATES,ETHIOPIA,1770036.0,"2,324,552"
2017,8041010,FRESH DATES,AZERBAIJAN,337009.0,"23,000"
2017,8041010,FRESH DATES,ARUBA,206250.0,"40,625"
2017,8041010,FRESH DATES,ERITREA,134650.0,"17,160"
2017,8041010,FRESH DATES,SPAIN,5430.0,480
2017,8041010,FRESH DATES,AUSTRALIA,493779.0,"45,638"
2017,8041010,FRESH DATES,AFGHANISTAN,1000.0,100
2017,8041010,FRESH DATES,JORDAN,29470265.0,"4,706,848"
2017,8041010,FRESH DATES,UNITED ARAB EMIRATES,16558456.0,"5,516,416"
2017,8041010,FRESH DATES,BAHRAIN,364956.0,"27,118"
2017,8041010,FRESH DATES,BOSNIA & HERZEGOVINA,134250.0,"43,000"
2017,8041010,FRESH DATES,CZECH REPUBLIC,7592.0,"1,289"
2017,8041010,FRESH DATES,REPUBLIC OF YEMEN,11520928.0,"2,750,116"
2017,8041010,FRESH DATES,DENMARK,44759.0,"19,250"
2017,8041010,FRESH DATES,SENEGAL,586975.0,"143,481"
2017,8041010,FRESH DATES,SUDAN,1140834.0,"567,662"
2017,8041010,FRESH DATES,SWEDEN,803279.0,"142,900"
2017,8041010,FRESH DATES,CHINA,227350.0,"76,375"
2017,8041010,FRESH DATES,IRAQ,66850.0,"24,100"
2017,8041010,FRESH DATES,PHILIPPINES,349970.0,"80,240"
2017,8041010,FRESH DATES,KUWAIT,14635003.0,"4,586,429"
2017,8041010,FRESH DATES,GERMANY,633838.0,"85,906"
2017,8041010,FRESH DATES,MOROCCO,8612295.0,"1,023,967"
2017,8041010,FRESH DATES,UNITED KINGDOM,3351981.0,"434,058"
2017,8041010,FRESH DATES,NORWAY,639352.0,"77,211"
2017,8041010,FRESH DATES,INDIA,3574147.0,"1,162,121"
2017,8041010,FRESH DATES,U.S.A,1825358.0,"326,461"
2017,8041010,FRESH DATES,JAPAN,14000.0,"1,210"
2017,8041010,FRESH DATES,INDONESIA,1394141.0,"295,332"
2017,8041010,FRESH DATES,ANGOLA,149259.0,"20,000"
2017,8041010,FRESH DATES,ITALY,37200.0,"29,560"
2017,8041010,FRESH DATES,PAKISTAN,32300.0,"5,761"
2017,8041010,FRESH DATES,BRUNEI DARUSSALAM,115280.0,"12,225"
2017,8041010,FRESH DATES,BARBADOS,1000.0,90
2017,8041010,FRESH DATES,BELGIUM,1250567.0,"345,294"
2017,8041010,FRESH DATES,BULGARIA,33750.0,"9,000"
2017,8041010,FRESH DATES,BANGLADESH,1512422.0,"608,549"
2017,8041010,FRESH DATES,PANAMA,9670.0,793
2017,8041010,FRESH DATES,BENIN,8500.0,"4,581"
2017,8041010,FRESH DATES,THAILAND,104000.0,"34,080"
2017,8041010,FRESH DATES,TURKEY,66583846.0,"14,235,088"
2017,8041010,FRESH DATES,TRINIDAD & TOBAGO,242625.0,"15,200"
2017,8041010,FRESH DATES,CHAD,2000.0,520
2017,8041010,FRESH DATES,TANZANIA,484414.0,"99,215"
2017,8041010,FRESH DATES,TOGO,11080.0,"11,504"
2017,8041010,FRESH DATES,GAMBIA,150215.0,"35,584"
2017,8041010,FRESH DATES,COMOROS,78912.0,"24,800"
2017,8041010,FRESH DATES,MALDIVES,79386.0,"15,499"
2017,8041010,FRESH DATES,MONTENEGRO,1650.0,205
2017,8041010,FRESH DATES,SOMALIA,15123954.0,"5,268,626"
2017,8041010,FRESH DATES,SOUTH AFRICA,1098681.0,"90,317"
2017,8041010,FRESH DATES,GEORGIA,1000.0,76
2017,8041010,FRESH DATES,DJIBOUTI,1983681.0,"988,890"
2017,8041010,FRESH DATES,RUSSIAN FEDERATION,118403.0,"2,371"
2017,8041010,FRESH DATES,ROMANIA,1000.0,"3,457"
2017,8041010,FRESH DATES,ZAMBIA,17000.0,"1,501"
2017,8041010,FRESH DATES,SAO TOME AND PRINCIPE,530000.0,"100,000"
2017,8041010,FRESH DATES,SULTANATE OF OMAN,1641215.0,"466,314"
2017,8041010,FRESH DATES,SINGAPORE,3649635.0,"236,557"
2017,8041010,FRESH DATES,SWAZILAND,318895.0,"28,889"
2017,8041010,FRESH DATES,SWITZERLAND,671035.0,"59,486"
2017,8041010,FRESH DATES,SRI LANKA,1099650.0,"234,777"
2017,8041010,FRESH DATES,TAJIKISTAN,265000.0,"50,000"
2017,8041010,FRESH DATES,GHANA,272072.0,"59,868"
2017,8041010,FRESH DATES,GUINEA,56550.0,"37,311"
2017,8041010,FRESH DATES,FRANCE,1845362.0,"212,604"
2017,8041010,FRESH DATES,KYRGYZSTAN,5000.0,631
2017,8041010,FRESH DATES,QATAR,128500.0,"41,020"
2017,8041010,FRESH DATES,KAZAKHSTAN,3000.0,"2,739"
2017,8041010,FRESH DATES,CANADA,4633999.0,"471,616"
2017,8041010,FRESH DATES,KENYA,986515.0,"369,345"
2017,8041010,FRESH DATES,LEBANON,35108679.0,"5,104,880"
2017,8041010,FRESH DATES,LIBYA,885.0,50
2017,8041010,FRESH DATES,MALI,9880.0,580
2017,8041010,FRESH DATES,MALAYSIA,6662691.0,"435,412"
2017,8041010,FRESH DATES,EGYPT,3820092.0,"1,178,420"
2017,8041010,FRESH DATES,MALAWI,1000.0,64
2017,8041010,FRESH DATES,MAURITANIA,6682692.0,"1,213,200"
2017,8041010,FRESH DATES,MAURITIUS,280766.0,"23,280"
2017,8041010,FRESH DATES,NIGERIA,1698090.0,"357,970"
2017,8041010,FRESH DATES,NETHERLANDS,1524098.0,"267,170"
2017,8041010,FRESH DATES,HONG KONG,15348.0,"4,830"
2017,8041021,STORED DATES,UZBEKISTAN,50400.0,"3,504"
2017,8041021,STORED DATES,ETHIOPIA,1836400.0,"508,704"
2017,8041021,STORED DATES,AZERBAIJAN,20400.0,"3,504"
2017,8041021,STORED DATES,AUSTRALIA,2236328.0,"194,656"
2017,8041021,STORED DATES,AFGHANISTAN,825400.0,"152,904"
2017,8041021,STORED DATES,JORDAN,15789460.0,"2,405,527"
2017,8041021,STORED DATES,UNITED ARAB EMIRATES,71958228.0,"11,066,089"
