Year,H.S Code,Commodity Description AR,Commodity Description EN,Country AR ,Country EN ,Value (S.R),Weight (kg)
2018,8041021,تمر مكنوز,STORED DATES,روسيا الاتحادية,RUSSIAN FEDERATION,"623,735","105,626"
2018,8041021,تمر مكنوز,STORED DATES,رومانيا,ROMANIA,"4,100",488
2018,8041021,تمر مكنوز,STORED DATES,زامبيا,ZAMBIA,"1,000",18
2018,8041021,تمر مكنوز,STORED DATES,ساحل العاج (كوت دي فوار),COTE D'IVOIRE,"1,000",18
2018,8041021,تمر مكنوز,STORED DATES,ساو تومي وبرينسيبي,SAO TOME AND PRINCIPE,"318,999","60,018"
2018,8041021,تمر مكنوز,STORED DATES,سـلطنة عمان,SULTANATE OF OMAN,"18,309,672","2,819,470"
2018,8041021,تمر مكنوز,STORED DATES,سلوفاكيا,SLOVAKIA,"3,000",439
2018,8041021,تمر مكنوز,STORED DATES,سـنغافورة,SINGAPORE,"5,350,484","214,772"
2018,8041021,تمر مكنوز,STORED DATES,سـويسـرا,SWITZERLAND,"745,303","47,785"
2018,8041021,تمر مكنوز,STORED DATES,سيراليون,SIERRA LEONE,"18,000","23,000"
2018,8041021,تمر مكنوز,STORED DATES,سـيريلنكا,SRI LANKA,"876,563","231,958"
2018,8041021,تمر مكنوز,STORED DATES,شيلي,CHILE,"2,000",179
2018,8041021,تمر مكنوز,STORED DATES,طاجاكستان,TAJIKISTAN,"1,175",170
2018,8041021,تمر مكنوز,STORED DATES,غانا,GHANA,"273,019","62,018"
2018,8041021,تمر مكنوز,STORED DATES,غينيا,GUINEA,"2,800","2,018"
2018,8041021,تمر مكنوز,STORED DATES,غينيا الاستوائية,EQUATORIAL GUINEA,"10,000","16,000"
2018,8041021,تمر مكنوز,STORED DATES,فرنسا,FRANCE,"1,818,788","215,797"
2018,8041021,تمر مكنوز,STORED DATES,فلسطين,PALESTINE,"49,414","20,200"
2018,8041021,تمر مكنوز,STORED DATES,فنلندا,FINLAND,"1,022",24
2018,8041021,تمر مكنوز,STORED DATES,فيتنام,VIETNAM,"1,000",22
2018,8041021,تمر مكنوز,STORED DATES,فينزولا,VENEZUELA,"1,145",106
2018,8041021,تمر مكنوز,STORED DATES,قرقيزيا,KYRGYZSTAN,"1,000",24
2018,8041021,تمر مكنوز,STORED DATES,كازاخستان,KAZAKHSTAN,"9,146",452
2018,8041021,تمر مكنوز,STORED DATES,كندا,CANADA,"3,461,595","390,238"
2018,8041021,تمر مكنوز,STORED DATES,كوريا الجنوبية,SOUTH KOREA,"37,873","4,958"
2018,8041021,تمر مكنوز,STORED DATES,كوريا الشمالية,NORTH KOREA,"1,000",26
2018,8041021,تمر مكنوز,STORED DATES,كولمبيا,COLOMBIA,"1,000",18
2018,8041021,تمر مكنوز,STORED DATES,كينيا,KENYA,"925,945","214,734"
2018,8041021,تمر مكنوز,STORED DATES,لبنان,LEBANON,"2,266,635","280,127"
2018,8041021,تمر مكنوز,STORED DATES,مالي,MALI,"121,094","46,716"
2018,8041021,تمر مكنوز,STORED DATES,مـاليزيا,MALAYSIA,"2,734,276","201,222"
2018,8041021,تمر مكنوز,STORED DATES,مايوتي,MAYOTTE,"35,000","19,000"
2018,8041021,تمر مكنوز,STORED DATES,مـصـر,EGYPT,"3,643,603","362,587"
2018,8041021,تمر مكنوز,STORED DATES,موريتانيا,MAURITANIA,"2,941,194","898,836"
2018,8041021,تمر مكنوز,STORED DATES,موزمبيق,MOZAMBIQUE,"1,000",16
2018,8041021,تمر مكنوز,STORED DATES,ميانمار ( بورما ),MYANMAR,"1,000",24
2018,8041021,تمر مكنوز,STORED DATES,نيبـال,NEPAL,"1,000",24
2018,8041021,تمر مكنوز,STORED DATES,نيجيريا,NIGERIA,"456,249","162,034"
2018,8041021,تمر مكنوز,STORED DATES,نيكراجوا,NICARAGUA,"2,098,800","396,000"
2018,8041021,تمر مكنوز,STORED DATES,نيوزلندا,NEW ZEALAND,"45,000","9,514"
2018,8041021,تمر مكنوز,STORED DATES,هولندا,NETHERLANDS,"1,894,012","362,398"
2018,8041021,تمر مكنوز,STORED DATES,هونج كونج,HONG KONG,"1,000",18
2018,8041021,تمر مكنوز,STORED DATES,هوندوراس,HONDURAS,"3,180,000","600,000"
2018,8041029,غيرها من تمور,OTHER DATES,استراليا,AUSTRALIA,"13,467",863
2018,8041029,غيرها من تمور,OTHER DATES,افغانسـتان,AFGHANISTAN,"2,742","2,500"
2018,8041029,غيرها من تمور,OTHER DATES,الاردن,JORDAN,"11,773,999","1,753,375"
2018,8041029,غيرها من تمور,OTHER DATES,الامارات العربية المتحدة,UNITED ARAB EMIRATES,"39,321,347","9,991,403"
2018,8041029,غيرها من تمور,OTHER DATES,البحرين,BAHRAIN,"133,828","7,561"
2018,8041029,غيرها من تمور,OTHER DATES,البوسنة والهرسك,BOSNIA & HERZEGOVINA,398,25
2018,8041029,غيرها من تمور,OTHER DATES,السـنغال,SENEGAL,"18,750","8,400"
2018,8041029,غيرها من تمور,OTHER DATES,السـودان,SUDAN,"79,400","26,860"
2018,8041029,غيرها من تمور,OTHER DATES,السويد,SWEDEN,"9,375","4,200"
2018,8041029,غيرها من تمور,OTHER DATES,الصـين,CHINA,"2,079,222","942,073"
2018,8041029,غيرها من تمور,OTHER DATES,العراق,IRAQ,"2,324,400","638,800"
2018,8041029,غيرها من تمور,OTHER DATES,الـفـلبين,PHILIPPINES,"7,915","2,276"
2018,8041029,غيرها من تمور,OTHER DATES,الكويت,KUWAIT,"41,438,043","7,614,584"
2018,8041029,غيرها من تمور,OTHER DATES,المانيا,GERMANY,"112,102","27,502"
2018,8041029,غيرها من تمور,OTHER DATES,المغرب,MOROCCO,"1,027,074","238,814"
2018,8041029,غيرها من تمور,OTHER DATES,المملكة المتحدة,UNITED KINGDOM,"74,309","20,685"
2018,8041029,غيرها من تمور,OTHER DATES,النرويج,NORWAY,"1,188",150
2018,8041029,غيرها من تمور,OTHER DATES,الـهـنـد,INDIA,"236,392","70,111"
2018,8041029,غيرها من تمور,OTHER DATES,الولايات المتحدة الامريكية,U.S.A,909,104
2018,8041029,غيرها من تمور,OTHER DATES,انـدونيسـيا,INDONESIA,"321,024","103,759"
2018,8041029,غيرها من تمور,OTHER DATES,باكسـتان,PAKISTAN,"733,146","97,986"
2018,8041029,غيرها من تمور,OTHER DATES,بلجيكا,BELGIUM,"374,752","27,480"
2018,8041029,غيرها من تمور,OTHER DATES,بنجـلادش,BANGLADESH,"240,750","102,000"
2018,8041029,غيرها من تمور,OTHER DATES,تركيا,TURKEY,"1,921,554","907,936"
2018,8041029,غيرها من تمور,OTHER DATES,جمهورية الصومال,SOMALIA,"2,331,804","776,428"
2018,8041029,غيرها من تمور,OTHER DATES,جنوب افريقيا,SOUTH AFRICA,"64,478","5,909"
2018,8041029,غيرها من تمور,OTHER DATES,جيبوتي,DJIBOUTI,"564,200","105,860"
2018,8041029,غيرها من تمور,OTHER DATES,روسيا الاتحادية,RUSSIAN FEDERATION,"137,370","20,195"
2018,8041029,غيرها من تمور,OTHER DATES,زامبيا,ZAMBIA,"3,843",97
2018,8041029,غيرها من تمور,OTHER DATES,سـلطنة عمان,SULTANATE OF OMAN,"8,239,756","1,275,085"
2018,8041029,غيرها من تمور,OTHER DATES,سـنغافورة,SINGAPORE,"71,689","19,112"
2018,8041029,غيرها من تمور,OTHER DATES,سـويسـرا,SWITZERLAND,"3,993",353
2018,8041029,غيرها من تمور,OTHER DATES,سـيريلنكا,SRI LANKA,"35,000","25,604"
2018,8041029,غيرها من تمور,OTHER DATES,فرنسا,FRANCE,"1,340",27
2018,8041029,غيرها من تمور,OTHER DATES,فلسطين,PALESTINE,"72,000","24,000"
2018,8041029,غيرها من تمور,OTHER DATES,قرقيزيا,KYRGYZSTAN,990,400
2018,8041029,غيرها من تمور,OTHER DATES,كازاخستان,KAZAKHSTAN,"4,530",889
2018,8041029,غيرها من تمور,OTHER DATES,كندا,CANADA,"69,700","16,132"
2018,8041029,غيرها من تمور,OTHER DATES,لبنان,LEBANON,"1,446,825","249,323"
2018,8041029,غيرها من تمور,OTHER DATES,مـاليزيا,MALAYSIA,"172,083","16,615"
